Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,G,Gd,S,P↑,P↓,Y,ϴ1,ϴ2,ϴ3,ϴ4,W,Yd,Pd,Wd,λ,E_Low,E_High,Ö,Öd,I,Im,Id
2025-10-17 ,92.01000213623048,93.1999969482422,90.80999755859376,92.7300033569336,598000,0.0,0.0,2.23,-1.0,0.28480197682145714,0.2846795336071173,0.7151980231785429,-0.0009696202239278994,0.1418970544931194,0.8543882472352765,0.5014492616863309,1.3791753740147557,-0.307351871902425,0.8731833352605938,-0.4305184895714256,-0.9999999967464,0.4913487207147419,90.66572309501959,96.7971522724604,-0.32665608544500857,0.14049303839064464,-5.0,-0.14193034674634744,-0.19997671108561865
2025-10-20 ,92.5999984741211,94.26000213623048,90.06999969482422,91.48999786376952,746800,0.0,0.0,2.22,-1.0,0.25904318308678015,0.25826283113925486,0.7409568169132199,-0.006731112175373939,0.2782996588109341,0.4706292948235145,0.6297728445082362,0.9058226346776167,-0.23004450582368455,-0.7481744468609166,-0.48269398577396505,0.14385539080482174,0.4929710212934355,84.7446164282006,96.91669667103935,0.10833666899021441,0.2174963772176115,-6.0,-0.11106334176209151,0.028519652827252287
2025-10-21 ,92.45999908447266,92.63999938964844,91.02999877929688,91.66999816894533,458400,0.0,0.0,2.21,-1.0,0.27746376638068027,0.27746376638068027,0.7225362336193197,0.0009827490122005637,0.2453010985362337,0.7853981630344345,0.8635251435519443,0.3997124266773752,-0.23792179109204786,0.9999998703632531,-0.44507246723863947,-0.016833018325139715,0.49173514269605306,90.69251726105239,96.8256521454556,-0.6812459120312718,-0.39479129051074313,-5.0,-0.0906352327539745,0.015433502492127965
2025-10-22 ,91.06999969482422,91.27999877929688,87.5999984741211,90.70999908447266,786000,0.0,0.0,2.2,-1.0,0.3303301486929221,0.3295538138736729,0.6696698513070779,-0.005263730118049879,0.24705362185240784,0.9821210842992516,0.099668652421018,1.4133801418069283,0.24793275075793933,-0.9999998399098405,-0.340116037433405,0.9999999979417707,0.49201369873544937,84.68248281025551,96.84618679566427,-0.0089340744477094,0.3361559187917812,-6.0,0.09094857828368944,0.010214054504058503
2025-10-23 ,90.80999755859376,92.1999969482422,90.0,90.47000122070312,523500,0.0,0.0,2.19,-1.0,0.32882864801704514,0.32863540340457925,0.6711713519829549,-0.0013246377269305878,1.3894756800969612,0.9167148693289591,1.1654024345836835,0.4636476087674727,-0.25143017103290677,0.5978858324121302,-0.3425359485783756,-0.9999999979974484,0.4936944295121099,84.7915117882749,96.96991420972216,-0.06744920459162736,-0.02925756507195898,-7.0,-0.09069543830853925,0.09079190551883197
2025-10-24 ,91.91000366210938,93.1999969482422,90.75,90.76000213623048,795700,0.0,0.0,2.18,-1.0,0.3892858203576815,0.3892858203576815,0.6107141796423186,0.0016001815933104598,0.7853981633691441,0.25904694235183323,1.2321647221481877,0.33964282672061835,-0.2849889015926879,0.9999996580986555,-0.22142835928463706,-0.0625606586525001,0.4965661821224498,84.97719853714688,97.18063589845482,-0.052266434792443243,0.007591384899592057,-6.0,-0.07687787109273968,-0.09082200829611434
2025-10-27 ,91.48999786376952,94.94000244140624,90.8499984741211,94.83999633789062,1242800,0.0,0.0,2.17,-1.0,0.29564016718135655,0.29564016718135655,0.7043598328186434,0.02198272756036165,0.7853981630589991,0.24883787033786303,1.4693683877582175,1.3483707190514003,0.32748539890815487,0.8642930763944505,-0.4087196656372869,0.9999999983672785,0.49655053778399405,84.9761890311151,97.17949028013248,0.6165801540401167,0.33442329441627994,-5.0,0.07697742648646529,0.006908783607899788
2025-10-28 ,95.91999816894533,97.0999984741211,93.36000061035156,94.24500274658205,1355900,0.0,0.0,2.16,-1.0,0.3042254174945278,0.3037994522681752,0.6957745825054722,-0.003146699072848024,1.1739543180852214,0.12840517760400222,1.1712068254427206,0.11065722110786703,0.22379764403776006,-0.9999999602060177,-0.391975130237297,-0.18808442597513914,0.4926712616987207,90.7573655694108,103.13358076592388,-0.43639681081627046,-0.5264884824281936,-6.0,0.09176186158694,0.07692764878960248
2025-10-29 ,96.51000213623048,98.94000244140624,93.9499969482422,98.94000244140624,1492100,0.0,0.0,2.15,-1.0,0.26251518426053627,0.26251518426053627,0.7374848157394638,0.02430312689256336,-0.09966865264398156,0.09966865244596175,1.320709044693544,0.3023080941116153,-0.25979029784912744,0.9999999635698978,-0.4749696314789275,-0.9999999979321237,0.49677583579532697,91.04068493094732,103.4532415062826,0.27279460317129023,0.35459570699378035,-5.0,-0.09078180333972524,0.007392217550237355
2025-10-30 ,101.25,106.7300033569336,99.55999755859376,104.29000091552734,1749200,0.0,0.0,2.14,-1.0,0.1347606638532082,0.1347606638532082,0.8652393361467918,0.026324845671162472,-0.7853981639616331,0.7853981629616331,-0.9466718347926124,0.9466718334756289,0.2079728340154671,0.03993284021242441,-0.7304786722935837,0.9999999978621658,0.49566729887381195,97.11477046253127,109.71817107773394,0.138618166952774,-0.06708821810925811,-4.0,0.09184812013257428,-0.09127183246333262
