Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Low_High_Avg,RV,Sd,Rs,G,Rf,Sf,R*,Ss,P↑,P↓,Y_High,Y_Close,Y_Low,cos_θ1,sin_θ1,cos_θ2,sin_θ2,cos_θ3,sin_θ3,cos_θ4,sin_θ4
2016-02-25,72.55453079312477,73.35191498909923,72.36077223847037,73.32955932617188,4619700,0.0,0.0,72.8563436137848,0.003528492125855735,1.0,1.1327285766601562,0.693040240810106,1.2295989990234375,0.3176800209500024,-0.43224334716796875,2.0,0.8176800209500024,0.18231997904999764,0.009849580225536727,0.011271101234656905,0.016363285587641763,0.9987484054752134,-0.05001622297533954,0.9999216403343554,0.01251851393145819,1.0,0.0,0.7412598703016512,0.6712181498442806
2016-02-26,73.46369925833662,73.61274080211169,71.83166763181853,72.7780990600586,6130100,0.0,0.0,72.72220421696511,0.00464691331152015,1.0,0.581268310546875,0.0,-0.5514602661132812,0.0,-0.43224334716796875,1.8084089947313595,0.5,0.5,0.0047100058780591226,-0.010016708299373515,-0.009738292913398273,0.9999994574989045,-0.0010416342432571172,0.9995059608792152,0.03142982925369936,1.0,0.0,0.9569867071811494,0.2901317670965745
2016-02-29,72.53216348410925,73.28483054780699,72.39057006087702,72.41292572021484,4840800,0.0,0.0,72.83770030434201,0.0036511488487630905,1.0,0.216094970703125,0.0,-0.9166336059570312,0.0,-0.43224334716796875,0.24993822639168628,0.5,0.5,-0.0035254938280286224,-0.003972270997097213,0.00612044985210494,0.9808816388592178,-0.19460526855369314,0.9999871373996699,0.005071985332550085,1.0,0.0,0.9490199853891667,0.3152159058993468
2016-03-01,73.15072042456565,73.35938089379373,72.718491917981,73.25505065917969,3483400,0.0,0.0,73.03893640588737,0.002657891353411659,1.0,1.0582199096679688,0.0,0.8421249389648438,0.0,-0.43224334716796875,2.0,0.5,0.5,0.0007316458980014002,0.008320101895412034,0.0032523107403655306,0.9960977590652833,-0.08825675263185764,0.9999394467768912,0.011004670804930358,1.0,0.0,0.9452323574225239,0.32639820845319906
2016-03-02,73.17306875020702,73.69471987094335,72.94950073527959,73.50096130371094,3372100,0.0,0.0,73.32211030311146,0.0025816048491685193,1.0,1.3041305541992188,0.0,1.0880355834960938,0.0,-0.43224334716796875,2.0,0.5,0.5,0.004415033354171828,0.003244206723244682,0.00307037565892242,0.9999932541923583,-0.0036730872270584547,0.9997716892325809,0.021367484855073643,1.0,0.0,0.9453095995263924,0.32617443346045943
2016-03-03,73.32956392089896,74.13440195013604,73.10599590647618,74.05987548828125,3656000,0.0,0.0,73.62019892830611,0.0028202361065559406,1.0,1.8630447387695312,0.0,1.6469497680664062,0.0,-0.43224334716796875,2.0,0.5,0.5,0.006449328600802736,0.008213150098280315,0.0023233721180351387,6.123233995736766e-17,1.0,0.9941184642579575,0.10829810257525323,1.0,0.0,0.9499430883963261,0.31242299660564316
2016-03-04,74.04496281967513,74.3355977847398,73.52331177611548,73.98534393310547,3709500,0.0,0.0,73.92945478042765,0.0028586262423862824,1.0,1.78851318359375,0.0,-0.07453155517578125,0.0,-0.43224334716796875,2.0,0.5,0.5,0.0027499162124545937,-0.00102160963298459,0.0057754163807305,6.123233995736766e-17,1.0,0.9921007993493535,0.12544322991048173,1.0,0.0,0.9446515272962389,0.3280754364119375
2016-03-07,73.43389550762886,73.90338152394467,73.12090483008498,73.34446716308594,4531100,0.0,0.0,73.51214317701482,0.0034615236937918696,-1.0,-0.6408767700195312,0.0,-0.7154083251953125,0.0,1.78851318359375,0.1283999244642394,0.9679000188839402,0.03209998111605985,-0.007122901736480043,-0.010626791634088834,-0.006703765220425635,6.123233995736766e-17,1.0,0.9990506965454043,0.043562664428870544,1.0,0.0,0.9660368056439123,0.25840450874802123
2016-03-08,73.03147471865645,74.33560819577532,73.03147471865645,73.80650329589844,4355000,0.0,0.0,73.68354145721588,0.0033479510032753293,-1.0,-0.17884063720703125,1.041103551813194e-05,0.4620361328125,5.077336834730784e-10,1.78851318359375,0.009998805618711899,0.9999999492205692,5.077943076925822e-08,0.005604845224968615,0.006035695444515475,-0.001176230371714772,6.123233995736766e-17,1.0,0.9958816589513695,0.0906626790044734,1.0,0.0,0.9757977411774101,0.21867502901123415
2016-03-09,74.08969902081095,74.9690579935035,73.85868286474174,74.90943908691406,5153200,0.0,0.0,74.41387042912262,0.004020775704627502,1.0,1.102935791015625,1.0656764695588237,1.564971923828125,0.4637005937308434,-0.17884063720703125,2.0,0.9637005937308434,0.03629940626915662,0.010040553518661849,0.0175513908286752,0.01332726214386034,6.123233995736766e-17,1.0,0.9892241725659954,0.14640879895389405,1.0,0.0,0.8107143346153309,0.5854419421678133
